description,primary_label
"Halle Heat Exchange Equipment Co., Ltd is a Chinese company that specializes in the production and sales of heat exchangers. Their main products include plate-type heat exchanger, welded panel type heat exchang, ground heating water distributors, stainless steel water divider, and overheated hot water coolers. The company has an in-depth knowledge team with high-quality technical expertise and is equipped with many varieties of excellent equipment for producing heat exchiders. Halle Heat Exchanger Equipment Co, Ltd is committed to achieving innovative products and technologies for efficient heat transfer and reducing natural resource consumption. They provide a knowledge-intensive approach to further optimize heating or cooling treatments for various process equipment. The Halley plate heat exchider has a very high thermal transfer efficiency compared to traditional welded-plated heat exchanders and is compact in structure. The heat exchuder is mainly used in the development of the fastener industry.",Manufacturing Services
"Ballymacarbry Elders Housing Association Ltd. is a registered charity in Ireland that aims to provide quality, age-friendly, and sustainable homes for older people in the local community who require them. Their goal is to enable these individuals to live independently for as long as possible. The association offers 1 & 2 bedroom terrace houses in three blocks, consisting of single storey, semi-detached, back and front gardens, each with an entrance hall, kitchen/living room, 2 bedrooms, and walk-in shower. The houses are well-insulated and have a BER rating of A3. The community center adjacent to the houses includes a library, a social club with entertainment, a caretaker and health center, and a daily bus service to Clonmel and Dungarvan. The development is located in the village of Ballymacarrow, surrounded by private grounds and close to the Nire River.",Property Management Services
"An Nhien Scientific Equipment Co., Ltd. (AnNhien) is a company that specializes in the distribution of scientific equipment, reagents, probiotics, and consumables for various industries such as life science research, chemistry, biomedicine, clinical diagnostic, veterinary, food hygiene, environmental monitoring, and quality control. They offer a range of products including sterilization products, biological and chemical indicators, sterilization packing, labwares and consumable products, plasticwares, cell culture, micro and molecular biology, handling and storage, specimen collection, microbiology and storage solutions, reagent and probiotic products, microbial identification, enzymes and prepared enzymes, and culture media. The company is committed to providing high-quality products and technology to its customers and contributing to the development of science, technology, and economy in Vietnam.",Laboratory Services
"Anovei is a company that specializes in air treatment, purifier leasing, and nasal filtration research and development, as well as production.",Pharmaceutical Manufacturing
"Db Motor Service di Damiano Barbato is an auto electrical service and auto repair shop located in Arzano, Campania, Italy.",Auto Electrical Services
DOO Bački Petrovac is a Slovakian company that specializes in the production of raw materials and the wholesale of cleaning products. Their main focus is on producing raw powders and selling cleaning items.,Soap Production Services
"Reparación Lavarropas Candy is a technical service and repair company that specializes in the repair and maintenance of washing machines. They offer same-day service in the Capital Federal, GBA Zona Norte, GGA Zona Oeste, and GBA Súbrica Zona Sur areas. Their main focus is on repairing and maintaining Candy washing machines, providing technical support to their customers.",Repair Services
"Ver Peliculas is a company that specializes in video conferencing solutions. They offer a range of products and services related to video conferecting, including AVer, Jean Paul, and Ver Pelicula.",Commercial Communication Equipment Installation
"Gina Crow is an Italian-American film director, writer, and producer based in Los Angeles, California. She has a background in music production and international DJing, and has worked on music videos, commercials, and narrative projects. Crow has collaborated with Fuse Technical Group, ARRI, Inc., and FotoKem to produce an action thriller short film called ""Dark in Berlin,"" which was shot on an LED volume stage using virtual production and stars Christine Ko and Miki Ishikawa. She is currently working on her debut feature film, which is expected to be released in spring 2024.",Media Production Services
"360Scooters is a company that offers electric scooter rental services in Tenerife, Canary Islands. They provide electric scooters for rent, allowing tourists to explore the cities of the island in a sustainable way. Customers can rent a scooter for a daily, weekly, or three-day period and pick it up in South Tenerije, Arona, Los Cristianos, Playa de Las Américas, and Adeje. The company is a leader in electric personal mobility and offers workshops, technical services, and online and physical sales of personal mobility vehicles.",Electric Scooter Rental Services
"Vision Express Opticians - Llanelli is an establishment located in Llanelli, Wales, United Kingdom. It operates as an optician, contact lenses supplier, eye care center, optometrist, and sunglasses store.",Optician Services
"Solar Gold Dried Fruit is a company that specializes in producing dried fruits, including Mango, pineapple, and banana. They dry the Kent and Ataulfo varieties for their smooth texture and distinctive flavor, and preserve the digestive enzymes by ensuring the fruit never exceeds 35 degrees Celsius during the drying process. Their tropical mix is perfect for travel, lunch-boxes, and camping, and can be used as a replacement for raisins in cooking, salads, baking, and breakfast cereals. The company's products are high in potassium and magnesium, which help maintain stamina for endurance sports like cycling, hiking, and cross-country skiing.",Food Processing Services
"Coma Rico is a restaurant located in Cali, Valle del Cauca, Colombia. It offers various dining options including dine-in, takeout, and delivery services. The establishment is described as casual and cozy, and it is suitable for groups and families with children.",Restaurant
"Gemini Beauty is a company that offers a variety of makeup, skincare, and hair products. Their makeup line includes items such as lip oil, liquid lipstick matte, liquid concealer, facial contour, compact illuminator, powder finisher armor, transparent powder, banana powder, eyeliner pen, eyelash mascara, false eyelashes, face masks, false eyebrow glue, and false eyelash 5D mink. They also offer hair products such as hair brush powder, hair brush drop, hairbrush racket, and Venus Eyeshadow Palette.","Cosmetics, Beauty Supplies, and Perfume Retailers"
"SellerGroup is a company that specializes in promotional and office products. They offer unique office solutions and customized furniture designs for office spaces, including desks, chairs, and conference tables. They also provide ergonomic solutions for a better work environment with their ErgoDesk and CleanDesk products. SellerOffice develops and sells unique solutions for office workspaces, while ActiveOffice offers special products for creating an active working environment. Additionally, they provide information and advice on office design.",Furniture Manufacturing
"Ural Metallurgical Company is a production group that specializes in mechanical processing of metal, including non-ferrous metallurgy and forging manufacturing. They are also one of the largest metal traders in the Siberian Ural region. The company offers a wide range of metalworking services such as turning, milling, and high-precision machining on equipment with numerical control. They maintain a stock of metal for production of ingots weighing up to 250 kg and can manufacture ingots using customer materials. The customer's metal will only be accepted if there is a certificate by manufacturer marked ""for hot processing"" which can be put into production after receiving input control. The main suppliers of metal are JSC ""Elektrostal"", JSC “Izhstal” and Mechel, Serov Metallurgical Plant (Jsc), Zlatoust Metalworking Factory.",Non-Structural Steel Fabrication
"Tiga Putra Farm is a cattle farm located in Sidoarjo, East Java, Indonesia.",Livestock Dealer Services
"Suffolk Firewood & Arborsculpture is a carpentry company located in Martlehsam that offers a range of high-quality services including kitchen fittings, joinery, furniture repair and reassembly, wood wall panelling, and windows and doors. They specialize in bespoke wood designs and ideas, and offer custom windows and door crafting at an affordable price. The company prides itself on providing excellent customer service from start to finish.",Carpentry Services
"Tobaccotoday is a full-service marketing and advertising agency that has been partnering with clients for over 10 years to help them achieve their business goals and keep their customers satisfied. They offer a range of services, including internet marketing consulting and traditional marketing consulting, as well as designing and implementing various forms of marketing collateral. With a proven track record of helping companies find the most effective advertising channels for their products or services, Tobaccottoday can assist in determining the best ways to invest marketing dollars to reach your audience. Whether you need an internet marketing consultant or want to revamp your marketing approach, Tobacco Today is here to assist.",Marketing Services
"The Bingsu Hub is an ice cream shop located in Bang Khen, Bangkok, Thailand.",Frozen Food Processing
The company specializes in the professional installation of home safety devices and detectors.,Alarm Installation Services
"Grupo Rimag is a company consisting of three pillars: Rimag Importaciones S.A, Dimo de Alajuela SA, and Richo import-export SA. They specialize in selling quality products and maintaining long-term partnerships with suppliers and customers. With extensive knowledge of the market, they offer competitive value propositions and professionalize their sales force. The company is known for its excellent customer service and commitment to customer satisfaction. Black & Decker, a subsidiary of Grupo Rimlag, is a leading producer of home appliances, including ironing boards, oven toasters, portable mixers, coffee makers, and hair dryers. Remington, another subsidiary, introduced the first electric shaver in 1937 and continues to innovate with unique products.",Importing and Distributing
"Francesco Perrotta Edilizia is a construction company based in Cervino, Cervo, Italy. The company was founded by Francesco Perrottta, who has a strong focus on professionalism and technological innovation. They specialize in the construction of residential, commercial, and industrial buildings, and are known for their high-quality workmanship and attention to detail. The team at Francesco perrotta edilizi has extensive experience in the field, having worked on various projects in Italy and abroad. They offer a wide range of services, including the construction and renovation of residential and commercial buildings, as well as the construction, renovation, and modernization of public and private buildings. The owner, Francesco, has a passion for construction and has been involved in the industry for many years.",Commercial Construction Services
"Mountain Toy Sales is a company that specializes in wholesale toy accounts and provides experienced advice to its clients. The company was founded by a couple who owned and operated a toy store in Bozeman, MT for ten years and has been a sales representative with DanSon Sales for eight years.",Retail
"Sanitario is a company that specializes in the sale of sanitary wares, including sanitary pads, sanitary napkins, sanitizers, and dispensers. They offer a variety of sizes and colors, as well as discounts on their products. The company also provides information on how to care for sanitary ware and offers tips on how long to keep sanitary products in good condition. Additionally, they provide information on the Value Added Tax (VAT) which is a tax on the value of goods and services.",Sanitary Ware Manufacturer
"Prologistics Carriers is a company that specializes in refrigerated transportation of products, particularly those that are temperature-sensitive. They offer dry vans for loading and unloading products from the rear of trailers from loading docks, with some trailers even offering liftgates in cases where loading docks are unavailable. Their services ensure a successful import and export process with constant times and visibility at all times, on-site or customs classification, consolidation, and deconsolidation of merchandise.",Refrigerated Transport Services
"The company is a design firm that specializes in developing and implementing ideas. They offer design services focused on improving the quality of life in urban planning, architecture, landscape design, and interior design.",Interior Design Services
Fahrzeugbau-pfaff.de is a German company that specializes in vehicle construction services. They operate in accordance with the legal requirements of the Telemediengesetz 5 Telemediation Act.,Furniture Manufacturing
"Rijkswaterstaat, formerly known as the Bureau voor den Waterstaat and formerly as the Directorate General for Public Works and Water Management, is a Directorate-General of the Ministry of Infrastructure and Water management of the Netherlands. Founded in 1798, the agency is responsible for the practical execution of public works and water management, including the construction and maintenance of waterways and roads, as well as flood protection and prevention. Rijksstaat has been involved in the construction of major railway projects such as the Betuweroute and the HSL-Zuid. Their mission is to provide dry feet, clean and sufficient water, and a quick and safe flow of traffic. The agency is divided into 10 regional, 6 specialist services, and 2 special services.",Road and Highway Construction
"Solar Heat Pumps is a high-tech enterprise that specializes in the production of solar-powered hot water heaters. The company is a joint venture between Shenzhen Guowang Holding Co., Ltd., Beijing First Light Group, and First Steel Holding Co. The core of the company is based on solar-photovoltaic heating technology, with a focus on product research and development, production, engineering design, marketing, and sales. The goal of the solar heat pumps is to promote the promotion and application of clean energy sources. The solar heat pump control system is a key feature of the modern solar heaters, and the company provides information on how to select the appropriate control system for each type of solar heat exchanger and how to install it properly. The heat exchangers are known for their high quality and durability, and can be used in various settings such as homes, offices, and hotels.",Manufacturing
"W.A.Y.S. Helping Hands is a non-profit organization based in Sacramento, California that aims to empower, support, and assist the homeless community. The organization provides housing in a clean, safe, and drug-free environment, as well as food and services that are registered, certified, or licensed. W.A.,Y. S. Help is pursuing various projects to help the homeless and relies on the help of volunteers and supporters to achieve its goals. Donations to the organization can be made through PayPal or referrals.",Property Management Services
Wu An Fake Commercial Bills of Exchange is a company that specializes in providing fake commercial bills of exchange. They offer customized professional replications of these bills with no cash payment and without interest.,Financial Services
"Akyom is a company that specializes in traditional and contemporary house construction in the Tarn region of France. They have been established for many years and offer services such as searching for land, creating plans, assembling administrative files, financing studies, filing permits, monitoring site work, and ensuring compliance with quality charter. Akyom guarantees sustainable homes and long-term energy savings to preserve their clients' purchasing power. They are committed to meeting their clients’ expectations in terms of budgetary imperative and ensuring the construction of a place for living and wellbeing that is like their own.",Single Family Residential Construction
Stroxx is a series of professional hand tools developed by skilled professionals with a focus on quality and precision. These instruments are designed to be used by individuals who take pride in their profession every day.,Hand Tools Manufacturer
"RIKA 78 is a French company that specializes in the production and sale of wood stoves and pellet stoves. They offer a wide range of wood and pellets, including mixed stoves, as well as Rika stoves for both wood and pellets. The company also provides the Rikatronic4, an electronic control system for fireplace stoves with programmable ignition that supports users in all heating steps, from temperature rise to recharge. Rika 78's pellet conveying and optimized smoke extraction reduce operating noise to a minimum, while the continuous worm motorization eliminates small repetitive sounds characteristic of pellet-stoves. The distribution of hot air is carried out through radiation and natural convection, eliminating the need for a convection fan. The Rika78 showroom is located in Coignières and offers a wide selection of wood-burning stoves at prices available from their factory stores.",Heating Equipment (except Warm Air Furnaces) Manufacturing
"Hawk International is a Pakistani company that specializes in the processing of PET bottle flakes using modern plants and machinery. They are a member of the Chamber of Commerce and Industry in Karachi and are registered with the Federal Board of Revenue, Government of Pakistan. The company has expanded its business to include the mining of chromite ore and the supply of Manganese Ore, Copper Ore, Iron Ore, and Low Silica Limestone. They have also introduced Mill Scale, a waste iron slag of re-rolling steel mills, to their Chinese buyers and have exported their products to leading steel mills in China. Hawk International is focused on increasing their production capacity to meet the increasing demand for their products in China, India, and other Far East countries.",Recycling Services
"The company provides a platform that allows users to choose whether or not to use cookies or related technologies such as web beacons, pixel tags, and Flash objects on their website. Users can change their preferences and revisit them at any time by accessing the ""Cookie Preferences"" link in the footer of the site. The company and its partners may process personal data such as IP addresses, unique IDs, and browsing data for store and/or access information on a device, as well as personalized advertising. Some partners may not require users to consent to processing their data, while others rely on their legitimate business interests.",Marketing Services
"FinTech PRO is a team of experienced Chartered & Certified Accountants and Advisors that provides accounting, tax, and technology services to optimize businesses and personal finances. Their goal is to help clients grow their companies and personal net worth by providing them with custom accounting tools, tax planning, and systems to achieve financial success. They offer cloud-based solutions, client accounting services, startup advisory, tax compliance, and contractor solutions. The company is led by Jay Patel, a qualified Chartered Accountant with over 9 years of experience in the field of Accounting & Finance, Business Process Reviews, Internal Audit, and Forensic audits across sectors like Manufacturing, Event Management, Real Estate, Transmission & power.",Management Consulting
"KB Sports (China) Co., Ltd. is a high-tech enterprise that specializes in the research, development, production, and sales of anti-cancer and chemotherapy system drugs. The company has a team of highly qualified research and development personnel, advanced testing equipment, and advanced research and testing equipment. They have independently developed several new drugs that have been brought to the market or are in development. The production scope of their products covers general drugs and cancer drugs, and they have multiple production workshops for raw materials, solid dosage forms, and dosage forms.",Pharmaceutical Manufacturing
"New Vichar Sandesh is a company that provides hand sanitizer at affordable rates at the Mrignani Emporium, operated by SLIC. The company aims to prevent the spread of Covid-19 among small businesses. The Chief Minister, Shri Shivaraj Singh Chauhan, recently reviewed the preparations for wheat supply during the Rabi season and discussed proposed wheat supply programs due to the Coronavirus infection. Vardhan Textiles Company donated Rs. 1 crore to the CM Relief Fund for COVID relief work, and HEG Limited donated an amount of one crore Rupees to the PMRRF and provided assistance with food supplies.",Soap Production Services
"The Konotop City District Court of Sumy Oblast is the highest court in Sumy Region, Ukraine. It is responsible for the administration of justice in the region and is one of the courts in Ukraine. The court handles a wide range of legal proceedings, including criminal cases, civil suits, and administrative proceedings. It provides information on the structure of the court, the structure and management of the judges, and the working mode of the judicial system. The Court also offers online broadcasts of court proceedings and provides information for people with disabilities and other mobility-impaired groups. Additionally, the court provides information about the stages of a case, the procedure for reimbursing the costs of copying or printing documents provided to requestors in court, and a list of court cases scheduled for hearing. The Konottop District Court is committed to anti-corruption activities and operates under martial law.",Court Administration Services
"Mago Indústria is a Brazilian confectionery company that has been in the market for over 30 years. They offer a complete portfolio of high-quality products, including Bicos de Confeitar, Colorants, Forminhas, Ingredients, Powder of Decoration, Flavouring, Bags of Candy, Tools and Accessories, and Sprinkles. The company encourages teachers in the area to teach and disseminate confectionary legacy, motivating dreams. Mago Indústadria is the largest confectioneria company in Brazil and offers a variety of confectioneries, including Forminha Metalizado Prata N.02 Lisa 100un and Forminhe Metalizados Ouro N.05 Lisa 12un. They also provide recipes and information on how to calculate the size of cake for guests.",Confectionery Manufacturing
"Kulturaggregat e.V. is a non-profit sociocultural association founded in 2014 by a collective of around 20 artists, cultural workers, and individuals interested in culture. Their goal is to bring more art, subculture, and social discourse into public space. They aim to create a free space for culture and connect people who want to develop their creativity. Their current project, hilda5, is a platform, art room, and laboratory all-in-one, located in the old Art Nouveau house at Hildastraße 5 in Freiburg. It offers about 500 square meters of free spaces for exhibitions, concerts, readings, workshops, and performances by international and local artists, as well as street art projects. In addition to a spacious gallery, hild5 features an elegant stage and the kulturagregat-kinoklub, which is probably the smallest cinema in town.",Arts Services
"Principled Chiropractic is a healthcare provider located in Lawrenceburg, Indiana, United States. The practice specializes in chiropractic care and family practice medicine.",Health and Wellness Services
"Corsor is a company that specializes in providing high-performance memory modules for gamers and enthusiasts. Their DDR3 memory kits, available in capacities of up to 16GB, are designed to offer excellent performance in overclocking on AMD and Intel platforms. The company offers 1.5V memory modules with 4GB and 8GB modules, running at speeds up to 1600MHz, as well as an 8GB kit with a 4GB module that runs at speeds of up as high as 1866MHz. Prices start at $75 for a single 4GB RAM module and go up to $306 for a top-end 16GB module.",Computer Storage Device Manufacturing
"CNCrusher Machinery is a Chinese company that specializes in the manufacturing of mining machinery, including rough crushing, medium crushing, fine crushing, sand making, sand washing, feeding, grinding, transportation equipment, mobile crusher, and milling equipment. The company has extensive experience in installing production lines in over 160 countries worldwide. CNCrushers are known for their national patent machines, such as the XZM micro mill, MTM grinder, and B-series deep row vertical impact crusher. They manufacture every type of machine with the utmost care to ensure excellent quality. The CNC R&D team consists of 78 senior engineers, including seven top-ranked engineering professionals who have received the Central Government Special Award for their contributions to science and technology. The modern development includes MTW series mill, vertical grinder and hydraulic impact crushers, crane-mounted crushers and PEW Series forklift crushers.",Industrial Machinery Installation
"Guangzhou Hongbao Biping Biping Machinery Co., Ltd. is a company located in Pingtang County, Guangdong Province, China. They offer a range of products and services including home cleaning, artificial leather, fashion accessories, advertising materials, mirrors, natural fibers, pressure-sensitive components, fragrances, floor cleaning, and window cleaning. The company is committed to providing high-quality products and excellent customer service to its clients.",Non-Structural Steel Fabrication
"Cafe-Cafe resort Disersan Bajuri Bandung is a company that operates a cafe-cafe resort located in Bajura bandung, Indonesia. They offer a variety of food and beverage options, including coffee and tea. The company is known for its high-quality products and services.",Snack and Nonalcoholic Beverage Bars
"Panadería Petri is a bakery located in Villena, Valencian Community, Spain.",Bakery Production Services
"Laverie LAV'MARCK is a business located in Paris, France, operating in the categories of laundromat, herb shop, and package locker services.",Laundry and Dry Cleaning Services
"Graco is a leading manufacturer of juvenile products, including the Graco Nautilus 3-in-1 Toddler Car Seat, which features an extended five-point harness design that can accommodate children over the age of one and can accommodate them from 20 to 100 pounds in weight. The car seat easily converts to a high-back booster and backless booster as the child grows, and its steel-reinforced structure ensures safety and durability for years of use. The Nautilus meets or exceeds US safety standards and has extensive crash testing. Graco was founded in 1942 and is known for creating the world's first wind-up infant swing.",Furniture Manufacturing
"Chicago in Solidarity to End Violence Against Sex Workers is a global movement that aims to demand justice for murdered sex workers and an end to all policies criminalizing sex work. The movement was formed in memory of Jasmine and Dora, and seeks to show that the same policies that create situations that make sex workers' lives disposable in places like Sweden and Turkey exist in Illinois as well. The group organized a successful rally in Chicago on July 19th, 2013, where around a dozen sex workers, allies, and supporters converged on the office building housing the Swedish consulate to demand full decriminalization and human rights for sex workers. The rally included signs displaying slogans such as ""Sex Work Is Real Work,"" ""End Demand Endangers Sex Workers,"" ""Sex Worker Rights = Labor Rights = Trans Rights = Human Rights,"" and ""#JusticeForJasmine #JusticeForDora #StigmaKills."" The group received messages of support and gratitude from people across the U.",Community Engagement Services
"Carousel Buses Ltd is a transportation company that operates bus services in and around High Wycombe and Buckinghamshire. They offer a range of services including school bus services, airport transfers, and an on-demand minibus service called PickMeUp. The company is part of the Go Ahead Group and provides a mobile medium for advertising with their fleet of buses and coaches that can accommodate up to 1000 people. Carousel Bussels also offers bus driving jobs for those interested in a career in the transportation industry. The cost of local bus journeys is currently £2 each way, and the company aims to enhance the benefits of bus travel for their customers.",Travel Services
"Renting Cars is a car rental company located on the Gold Coast that offers long-term car rentals starting from $198 per week. They provide a low-cost solution for those who require a quality vehicle for a longer period without using expensive main stream rental companies. Renting Cars offers a range of quality, popular, and reliable vehicles that are well-maintained, have up-to-date servicing, and are mechanically excellent. They include insurance and road side assistance on all their vehicles with no hidden costs. The rental process is quick, simple, and hassle-free, and the company offers the option to own the car outright after 2.5 years of rental.",Car Rental Services
"The company is a multi-agency dispatch center that offers services to the towns of Milford, Mont Vernon, Wilton, and Lyndeborough New Hampshire.",Call Centers
"Paleros Yacht Services (PYS) is a professional yacht maintenance company located in Lefkas Marina, Lefkada, Greece. They offer a range of services including repairs and maintenance, spare parts and chandlery, and green energy charter brokerage. PYS is an official marine dealer for various brands such as Caterpillar, Volvo Penta, Yanmar, Mercury, Opacmare, and Victron. With over 18 years of experience, PYS has established an international reputation for excellence in service and meticulous attention to detail. They are dedicated to serving private boats visiting or staying in the Ionian Islands for extended periods of time. Pys also offers winterization services to prepare yachts for the winter months and comprehensive preparations for summer.",Well Maintenance Services
"Henan Huabao Building Materials Co., Ltd. is a Chinese company located in the Longshan Industrial Park of Nanjing, Henan Province. The company has 12 production lines and produces a range of products including high-grade waterproofing membranes, high-quality latex 821 powders, high strength stone mixtures, cross-linked stones, and exterior mixtures of these products. With an output of up to 500 tons per day, the company is known for its intelligent production and scientific management, making it one of the most advanced fully automatic masonry powder production bases in Henan. The products are widely used in various industries such as construction, public buildings, hotels, hospitals, schools, and offices, and are known for their high quality and durability. The materials produced by the company are used in waterproofing, insulation, and other applications.",Chemical Manufacturing
"Planec is an information technology and engineering company specializing in critical data transmission systems for copper and fiber optic networks. With expertise in high-density traffic and high-speed demands, Planec understands the importance of reliable 24-hour connectivity for building extra lower voltage (ELV) systems or security systems. They offer solutions for network cabling infrastructure, including copper cable with IP protocol and Power over Ethernet (PoE) systems. Planec provides products and solutions tailored to meet the needs of Building Managers, ensuring reliability, flexibility, and quality for application services.",Commercial Communication Equipment Installation
"Naftomar Shipping and Trading Co Ltd is a company that specializes in the shipping and trading of liquefied petroleum gas (LPG) products. Established in Beirut, Lebanon in 1972, the company initially focused on distributing petroleum products in the Mediterranean region. However, it has since expanded to become a major player in the LPGP market, with a chartering and ship management office in Piraeus, Greece, and a representative office in Paris under the name of Chemigaz S.A.R.L. Naftomar has established effective communication with oil majors, brokers, and the LNG market to provide an international service dedicated to the transportation of LPG. The company is dedicated to quality and service, meeting and exceeding all recognized standards for safety and performance in every aspect of its operations.",LPG Transportation Services
"Al Jazirah Vehicles Spare Parts is an auto parts store located in Ha'il, Saudi Arabia. The company specializes in providing various spare parts for vehicles.",Automotive Parts Retailer
"Wissels Bioland Streuobstbau und Kelterei is a German company that specializes in the cultivation of over 800 high and semi-highland fruit trees, primarily traditional Kahlgründer Obstsorten, according to the Bioland-Richtlinien (De-Öko-037, ÖkoP Zertifizierungs GmbH) guidelines. The company offers a variety of fruit-based products, including apple wine specialties, fruit juice syrups, apple wine samples, fruit tree pruning, courses, and apple tree pruners, as well as apple tree ladders and wooden pruning saws. They also provide apple tree cutting services for private customers, associations, municipalities, and businesses. The fruit is available as table trees or as direct purchases and is processed into apple wine and apple juice specialties.",Distilling Services
"CanadaMetals.ca, a service of CPE Media Inc., is a news and information provider for Canadian and international metal and mineral companies. Their mission is to offer a comprehensive source for all things related to Canadian metals and mineral resources. They provide news, analysis, and information on various metals and minerals, including base metals, base metals such as copper, nickel, zinc, lead, tin, iron, tungsten, molybdenum, manganese, and magnesium, as well as other minerals like aggregate, coal, gypsum, potash, and silica. The company covers news and updates on mining and metals-related topics, including private and public offerings, mergers and acquisitions, and strategic partnerships.",Publishing Services
"Sichuan Huabao通机梄博博山兴通機厂 is a Chinese company that specializes in the production, design, and sale of gearbox machinery equipment. The company is located in Huabiao, a well-known city in China's power industry and tourism industry. They offer a range of gearboxes, including four-wheel series gearboxes such as HB series, hard-facing series gearbox, planetary gearbox series, cylindrical gearboxes, and plastic-ceramic gearboxes. Additionally, they design and manufacture a variety of non-standard machinery equipment, including electric roller shuttles. The use of gearmotors in industrial production is a growing trend in recent years, and the company's products are used in various industries.",Machinery Manufacturing
"Umi's Diary is a company that specializes in gourmet food products, particularly puddings. They offer a variety of pudding options from different brands such as Torak, Seijo Ishii, Yamazaki, Precia eMitas, Global Foods, Pastel, Lawson Uchi Café, and Hokkaido Dairy. Their products include sweet and savory pudders, such as the ""Uma-salt milk pudding"" from Torak and the ""Cup Marche Shimizu white peach pudding from Okayama Prefecture"" from Pastel. They also offer authentic Japanese sweets like the ""Matcha & Milk Pudding"" from Lawson Uji Café.",Retail
"Ufpa.ru is a company that operates in the science and technology industry, specifically in the field of digital transformation and automation of business processes. They host the Global Tech Forum, a conference-exhibition event focused on digital transformation. Additionally, they provide news and updates on various topics such as the Steam charts, HBO Lights Greenlight, and the Coronavirus pandemic.",Publishing Services
"Lucky Seed is a seed company based in Ukraine that specializes in the production and sale of seeds and hybrids for vegetable crops. They offer a wide range of products under the trademark Lucky Seed, including seeds for corn, wheat, wheatgrass, vegetable seeds, maize, cabbage, tomato, zucchini, carrot, cucumber, pepper, sweet peppers, hot pepper, radish, radishes, onion seeds, and beetroot. Lucky Seed's seeds are available for purchase in stores such as Seed Supermarket, Agrolife, and Seed Empire. The company's breeding program focuses on improving the best varieties and hybrids of vegetable crops to meet the demands of even the most demanding consumers. Lucky Seeds has created popular hybrids such as white-root cabbage Garantiia F1, Askania F1 and Artek F1.",Seed Processing Services
